param d:#distance from venue (row) to venue (column)
	BER	MUN	DOR	STU	GEL	HAM	DUS	FRK	COL	LEI	:=
BER	0	571	501	628	510	290	564	545	571	180
MUN	570	0	632	220	664	790	654	421	613	412
DOR	491	638	0	452	34	353	68	271	99	420
STU	628	222	449	0	454	676	421	202	380	470
GEL	510	669	41	455	0	348	59	273	101	451
HAM	290	790	351	676	347	0	401	506	425	399
DUS	565	653	73	421	60	403	0	239	61	481
FRK	549	420	267	202	272	508	238	0	198	391
COL	570	610	96	378	102	425	60	196	0	492
LEI	179	414	427	471	490	399	544	389	502	0
;
