Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	0,1813	156,82	150,09	-0,02037	
0,02000	0,1813	156,87	150,09	-0,02031	
0,04000	0,1814	156,91	150,09	-0,02021	
0,06000	0,1813	156,85	150,09	-0,02014	
0,08000	0,1813	156,80	150,09	-0,02016	
0,1000	0,1813	156,81	150,09	-0,02030	
0,1200	0,1813	156,86	150,09	-0,02049	
0,1400	0,1813	156,92	150,09	-0,02053	
0,1600	0,1813	156,94	150,09	-0,02047	
0,1800	0,1813	156,94	150,09	-0,02043	
0,2000	0,1813	156,93	150,09	-0,02027	
0,2200	0,1813	156,89	150,09	-0,02017	
0,2400	0,1813	156,88	150,09	-0,02022	
0,2600	0,1813	156,91	150,09	-0,02033	
0,2800	0,1813	156,93	150,09	-0,02038	
0,3000	0,1813	156,97	150,09	-0,02036	
0,3200	0,1813	156,97	150,10	-0,02030	
0,3400	0,1813	156,94	150,09	-0,02023	
0,3600	0,1813	156,92	150,10	-0,02022	
0,3800	0,1813	156,91	150,10	-0,02028	
0,4000	0,1813	156,86	150,09	-0,02038	
0,4200	0,1813	156,86	150,09	-0,02042	
0,4400	0,1813	156,92	150,09	-0,02043	
0,4600	0,1813	157,02	150,09	-0,02036	
0,4800	0,1813	157,06	150,09	-0,02019	
0,5000	0,1813	156,99	150,09	-0,02009	
0,5200	0,1813	156,92	150,09	-0,02016	
0,5400	0,1813	156,89	150,09	-0,02036	
0,5600	0,1813	156,89	150,09	-0,02048	
0,5800	0,1816	156,95	150,09	-0,02050	
0,6000	0,1819	156,98	150,09	-0,02044	
0,6200	0,1820	156,95	150,09	-0,02034	
0,6400	0,1820	156,92	150,09	-0,02025	
0,6600	0,1820	156,96	150,09	-0,02013	
0,6800	0,1820	156,93	150,09	-0,02013	
0,7000	0,1820	156,87	150,09	-0,02030	
0,7200	0,1820	156,89	150,08	-0,02043	
0,7400	0,1820	156,89	150,08	-0,02042	
0,7600	0,1820	156,88	150,08	-0,02034	
0,7800	0,1820	156,90	150,08	-0,02027	
0,8000	0,1820	156,94	150,08	-0,02019	
0,8200	0,1820	156,94	150,09	-0,02024	
0,8400	0,1820	156,88	150,09	-0,02040	
0,8600	0,1820	156,87	150,09	-0,02046	
0,8800	0,1820	156,88	150,09	-0,02041	
0,9000	0,1820	156,86	150,09	-0,02033	
0,9200	0,1820	156,89	150,09	-0,02030	
0,9400	0,1820	156,94	150,09	-0,02024	
